station_name,route_or_line,gated_entries
Airport,Blue Line,2274905.0
Alewife,Red Line,1256690.0
Andrew,Red Line,976263.0
Aquarium,Blue Line,1162596.0
Arlington,Green Line,1102338.0
Ashmont,Red Line,1161468.0
Assembly,Orange Line,848419.0
Back Bay,Orange Line,2163901.0
Ball Square,Green Line,227691.66269
Beachmont,Blue Line,886543.0
Bowdoin,Blue Line,522770.0
Boylston,Green Line,1263420.0
Braintree,Red Line,500474.0
Broadway,Red Line,968916.0
Central,Red Line,2424061.0
Charles/MGH,Red Line,1628600.0
Chinatown,Orange Line,989778.0
Community College,Orange Line,639390.0
Copley,Green Line,2493015.0
Courthouse,Silver Line,518143.0
Davis,Red Line,1343106.0
Downtown Crossing,Orange Line,3197454.0
East Somerville,Green Line,92208.329871
Fields Corner,Red Line,732264.0
Forest Hills,Orange Line,1880576.0
Gilman Square,Green Line,283612.49582
Government Center,Blue Line,1643608.0
Green Street,Orange Line,516981.0
Harvard,Red Line,2992915.0
Haymarket,Green Line,1348642.0
Hynes Convention Center,Green Line,1678108.0
JFK/UMass,Red Line,1164008.0
Jackson Square,Orange Line,843186.0
Kendall/MIT,Red Line,2483130.0
Kenmore,Green Line,1643927.0
Lechmere,Green Line,495641.66214000003
Magoun Square,Green Line,194566.663033
Malden Center,Orange Line,1696443.0
Massachusetts Avenue,Orange Line,920777.0
Mattapan Line,Mattapan Line,865881.2026
Maverick,Blue Line,11682344.0
Medford/Tufts,Green Line,272499.99608
North Quincy,Red Line,766356.0
North Station,Green Line,2936232.0
Oak Grove,Orange Line,999516.0
Orient Heights,Blue Line,4514752.0
Park Street,Green Line,2761852.0
Porter,Red Line,1200341.0
Prudential,Green Line,725953.0
Quincy Adams,Red Line,408642.0
Quincy Center,Red Line,853364.0
Revere Beach,Blue Line,926688.0
Riverside,Green Line,286281.0
Roxbury Crossing,Orange Line,792227.0
Ruggles,Orange Line,1298467.0
Savin Hill,Red Line,265076.0
Science Park,Green Line,213632.0
Shawmut,Red Line,324666.0
South Station,Red Line,3213839.0
State Street,Blue Line,2424027.0
Stony Brook,Orange Line,598255.0
Suffolk Downs,Blue Line,759524.0
Sullivan Square,Orange Line,1307716.0
Symphony,Green Line,322445.0
Tufts Medical Center,Orange Line,1037416.0
Union Square,Green Line,406120.82946
Wellington,Orange Line,975883.0
Wollaston,Red Line,495358.0
Wonderland,Blue Line,1421264.0
Wood Island,Blue Line,2092356.0
World Trade Center,Silver Line,320631.0
