Neighborhood,0-18,19-34,35-60,65+,Population_0-18,Population_19-34,Population_35-60,Population_65+
Allston,3.84,79.98,11.98,4.20,740,15405,2307,809
Back Bay,6.57,47.22,27.52,18.69,1169,8398,4893,3323
Beacon Hill,8.93,47.31,26.33,17.43,862,4564,2540,1682
Brighton,9.54,55.39,20.77,14.30,5275,30631,11485,7906
Charlestown,19.98,29.11,34.31,16.61,3974,5789,6824,3303
Dorchester,22.16,30.93,30.64,16.27,28122,39249,38890,20648
Downtown,8.23,45.06,26.89,19.81,1507,8249,4923,3627
East Boston,19.41,33.38,34.42,12.78,9176,15775,16270,6042
Fenway,2.09,79.33,11.89,6.69,699,26568,3981,2241
Hyde Park,21.29,22.68,34.41,21.62,8288,8827,13392,8417
Jamaica Plain,16.20,34.16,32.76,16.88,6621,13960,13387,6899
Longwood,0.95,96.65,1.21,1.18,51,5172,65,63
Mattapan,24.64,23.10,33.88,18.39,6568,6157,9031,4903
Mission Hill,8.54,57.65,18.19,15.62,1485,10023,3163,2715
North End,5.82,59.74,20.78,13.66,509,5227,1818,1195
Roslindale,19.92,22.87,37.39,19.83,5979,6865,11224,5953
Roxbury,21.87,32.73,28.74,16.66,11846,17728,15564,9023
South Boston,12.68,46.89,27.75,12.68,4661,17242,10206,4663
South Boston Waterfront,4.29,47.26,35.11,13.33,189,2081,1546,587
South End,12.17,34.97,33.53,19.33,3965,11389,10922,6295
West End,6.38,39.96,32.75,20.91,422,2645,2168,1384
West Roxbury,20.57,19.03,33.35,27.05,6895,6381,11182,9068
