station_name,month,gated_entries,route_or_line,year,station
Airport,April,157973,Blue Line,2023,East_Boston
Airport,August,285603,Blue Line,2023,East_Boston
Airport,December,159399,Blue Line,2023,East_Boston
Airport,February,133327,Blue Line,2023,East_Boston
Airport,January,151772,Blue Line,2023,East_Boston
Airport,July,260666,Blue Line,2023,East_Boston
Airport,June,214959,Blue Line,2023,East_Boston
Airport,March,163063,Blue Line,2023,East_Boston
Airport,May,178937,Blue Line,2023,East_Boston
Airport,November,179744,Blue Line,2023,East_Boston
Airport,October,202543,Blue Line,2023,East_Boston
Airport,September,186919,Blue Line,2023,East_Boston
Alewife,April,101458,Red Line,2023,North_Cambridge
Alewife,August,131551,Red Line,2023,North_Cambridge
Alewife,December,105286,Red Line,2023,North_Cambridge
Alewife,February,14102,Red Line,2023,North_Cambridge
Alewife,January,111970,Red Line,2023,North_Cambridge
Alewife,July,150827,Red Line,2023,North_Cambridge
Alewife,June,130847,Red Line,2023,North_Cambridge
Alewife,March,17310,Red Line,2023,North_Cambridge
Alewife,May,121794,Red Line,2023,North_Cambridge
Alewife,November,105354,Red Line,2023,North_Cambridge
Alewife,October,120851,Red Line,2023,North_Cambridge
Alewife,September,145340,Red Line,2023,North_Cambridge
Andrew,April,77650,Red Line,2023,South_Boston
Andrew,August,88763,Red Line,2023,South_Boston
Andrew,December,73282,Red Line,2023,South_Boston
Andrew,February,78505,Red Line,2023,South_Boston
Andrew,January,81610,Red Line,2023,South_Boston
Andrew,July,84110,Red Line,2023,South_Boston
Andrew,June,87151,Red Line,2023,South_Boston
Andrew,March,87017,Red Line,2023,South_Boston
Andrew,May,80232,Red Line,2023,South_Boston
Andrew,November,76219,Red Line,2023,South_Boston
Andrew,October,81198,Red Line,2023,South_Boston
Andrew,September,80526,Red Line,2023,South_Boston
Aquarium,April,82054,Blue Line,2023,Downtown
Aquarium,August,148728,Blue Line,2023,Downtown
Aquarium,December,83589,Blue Line,2023,Downtown
Aquarium,February,60430,Blue Line,2023,Downtown
Aquarium,January,50237,Blue Line,2023,Downtown
Aquarium,July,160219,Blue Line,2023,Downtown
Aquarium,June,131879,Blue Line,2023,Downtown
Aquarium,March,81095,Blue Line,2023,Downtown
Aquarium,May,96193,Blue Line,2023,Downtown
Aquarium,November,84686,Blue Line,2023,Downtown
Aquarium,October,91160,Blue Line,2023,Downtown
Aquarium,September,92326,Blue Line,2023,Downtown
Arlington,April,113691,Green Line,2023,Back_Bay
Arlington,August,93630,Green Line,2023,Back_Bay
Arlington,December,59276,Green Line,2023,Back_Bay
Arlington,February,80299,Green Line,2023,Back_Bay
Arlington,January,85082,Green Line,2023,Back_Bay
Arlington,July,94206,Green Line,2023,Back_Bay
Arlington,June,102149,Green Line,2023,Back_Bay
Arlington,March,95418,Green Line,2023,Back_Bay
Arlington,May,107591,Green Line,2023,Back_Bay
Arlington,November,78527,Green Line,2023,Back_Bay
Arlington,October,98630,Green Line,2023,Back_Bay
Arlington,September,93839,Green Line,2023,Back_Bay
Ashmont,April,100038,Red Line,2023,Dorchester
