station_name,route_or_line,gated_entries
Airport,Blue Line,2274905
Alewife,Red Line,1256690
Andrew,Red Line,976263
Aquarium,Blue Line,1162596
Arlington,Green Line,1102338
Ashmont,Red Line,1161468
Assembly,Orange Line,848419
Back Bay,Orange Line,2163901
Ball Square,Green Line,227691
Beachmont,Blue Line,886543
Bowdoin,Blue Line,522770
Boylston,Green Line,1263420
Braintree,Red Line,500474
Broadway,Red Line,968916
Central,Red Line,2424061
Charles/MGH,Red Line,1628600
Chinatown,Orange Line,989778
Community College,Orange Line,639390
Copley,Green Line,2493015
Courthouse,Silver Line,518143
Davis,Red Line,1343106
Downtown Crossing,Orange Line,3197454
East Somerville,Green Line,92208
Fields Corner,Red Line,732264
Forest Hills,Orange Line,1880576
Gilman Square,Green Line,283612
Government Center,Blue Line,1643608
Green Street,Orange Line,516981
Harvard,Red Line,2992915
Haymarket,Green Line,1348642
Hynes Convention Center,Green Line,1678108
JFK/UMass,Red Line,1164008
Jackson Square,Orange Line,843186
Kendall/MIT,Red Line,2483130
Fenway,Green Line,1643927
Lechmere,Green Line,495641
Magoun Square,Green Line,194566
Malden Center,Orange Line,1696443
Massachusetts Avenue,Orange Line,920777
Mattapan Line,Mattapan Line,865881
Maverick,Blue Line,11682344
Medford/Tufts,Green Line,272499
North Quincy,Red Line,766356
North Station,Green Line,2936232
Oak Grove,Orange Line,999516
Orient Heights,Blue Line,4514752
Park Street,Green Line,2761852
Porter,Red Line,1200341
Prudential,Green Line,725953
Quincy Adams,Red Line,408642
Quincy Center,Red Line,853364
Revere Beach,Blue Line,926688
Riverside,Green Line,286281
Roxbury Crossing,Orange Line,792227
Ruggles,Orange Line,1298467
Savin Hill,Red Line,265076
Science Park,Green Line,213632
Shawmut,Red Line,324666
South Station,Red Line,3213839
State Street,Blue Line,2424027
Stony Brook,Orange Line,598255
Suffolk Downs,Blue Line,759524
Sullivan Square,Orange Line,1307716
Symphony,Green Line,322445
Tufts Medical Center,Orange Line,1037416
Union Square,Green Line,406120
Wellington,Orange Line,975883
Wollaston,Red Line,495358
Wonderland,Blue Line,1421264
Wood Island,Blue Line,2092356
World Trade Center,Silver Line,320631
